"date","hits"
"2004-01-01",100
"2004-01-02",65
"2004-01-03",67
"2004-01-04",60
"2004-01-05",77
"2004-01-06",68
"2004-01-07",71
"2004-01-08",51
"2004-01-09",36
"2004-01-10",46
"2004-01-11",57
"2004-01-12",59
"2004-01-13",57
"2004-01-14",59
"2004-01-15",41
"2004-01-16",34
"2004-01-17",79
"2004-01-18",44
"2004-01-19",61
"2004-01-20",52
"2004-01-21",48
"2004-01-22",43
"2004-01-23",48
"2004-01-24",46
"2004-01-25",65
"2004-01-26",65
"2004-01-27",57
"2004-01-28",52
"2004-01-29",57
"2004-01-30",59
"2004-01-31",64
"2004-02-01",70
"2004-02-02",49
"2004-02-03",38
"2004-02-04",42
"2004-02-05",43
"2004-02-06",58
"2004-02-07",55
"2004-02-08",58
"2004-02-09",49
"2004-02-10",52
"2004-02-11",61
"2004-02-12",50
"2004-02-13",63
"2004-02-14",45
"2004-02-15",73
"2004-02-16",52
"2004-02-17",55
"2004-02-18",59
"2004-02-19",55
"2004-02-20",58
"2004-02-21",63
"2004-02-22",55
"2004-02-23",48
"2004-02-24",36
"2004-02-25",58
"2004-02-26",51
"2004-02-27",51
"2004-02-28",60
"2004-02-29",78
"2004-03-01",52
"2004-03-02",65
"2004-03-03",79
"2004-03-04",67
"2004-03-05",50
"2004-03-06",83
"2004-03-07",91
"2004-03-08",0
"2004-03-09",0
"2004-03-10",52
"2004-03-11",49
"2004-03-12",57
"2004-03-13",84
"2004-03-14",66
"2004-03-15",49
"2004-03-16",49
"2004-03-17",47
"2004-03-18",56
"2004-03-19",49
"2004-03-20",72
"2004-03-21",62
"2004-03-22",43
"2004-03-23",0
"2004-03-24",43
"2004-03-25",74
"2004-03-26",65
"2004-03-27",58
"2004-03-28",74
"2004-03-29",60
"2004-03-30",49
"2004-03-31",50.5690597663973
"2004-04-01",49.3194098155014
"2004-04-02",59.1280336035241
"2004-04-03",74.5661425287723
"2004-04-04",83.2203963186023
"2004-04-05",71.1576907093171
"2004-04-06",57.3517605324848
"2004-04-07",47.5240868778649
"2004-04-08",56.3743474142894
"2004-04-09",83.4604525489628
"2004-04-10",79.8962136438935
"2004-04-11",43.1585484947304
"2004-04-12",34.4303262228672
"2004-04-13",49.8278289158135
"2004-04-14",57.7825412564708
"2004-04-15",43.1436024802248
"2004-04-16",53.1981193681055
"2004-04-17",66.5970811861445
"2004-04-18",63.0555582451427
"2004-04-19",54.4405420846433
"2004-04-20",53.7474632010756
"2004-04-21",51.2516902811329
"2004-04-22",63.804236654744
"2004-04-23",63.9150392883652
"2004-04-24",66.5172642995829
"2004-04-25",67.9946050461926
"2004-04-26",73.2362013476492
"2004-04-27",50.1519142160477
"2004-04-28",61.4305756847961
"2004-04-29",50.8876603017096
"2004-04-30",58.1719587703781
"2004-05-01",56.5675478629356
"2004-05-02",58.5077872600638
"2004-05-03",51.3600941425689
"2004-05-04",74.0678339374629
"2004-05-05",59.8926051590045
"2004-05-06",61.6305890515639
"2004-05-07",72.658218576522
"2004-05-08",63.1322919195823
"2004-05-09",71.7860309629651
"2004-05-10",59.313987569333
"2004-05-11",67.1983545553832
"2004-05-12",67.0153344245392
"2004-05-13",76.4849200338803
"2004-05-14",71.8145650904121
"2004-05-15",105.03818408461
"2004-05-16",97.8691370655672
"2004-05-17",76.7549073370356
"2004-05-18",72.5434849915763
"2004-05-19",55.6358602078432
"2004-05-20",61.766251574631
"2004-05-21",60.33694230295
"2004-05-22",67.1150498505815
"2004-05-23",96.4891257395844
"2004-05-24",50.0033772438913
"2004-05-25",52.7761607154061
"2004-05-26",50.1059396421677
"2004-05-27",58.3646726955423
"2004-05-28",68.6721983697603
"2004-05-29",68.3373430223953
"2004-05-30",94.5751346532379
"2004-05-31",88.8014381866456
"2004-06-01",72.30288122378
"2004-06-02",63.9425210675237
"2004-06-03",61.177825243072
"2004-06-04",83.8480260224248
"2004-06-05",99.1336806929153
"2004-06-06",72.3051715856733
"2004-06-07",63.3519056096021
"2004-06-08",56.1392906118279
"2004-06-09",53.6882439860405
"2004-06-10",61.2474285780158
"2004-06-11",57.9273671727697
"2004-06-12",75.5060972201448
"2004-06-13",74.9527453256107
"2004-06-14",62.3868475992577
"2004-06-15",71.2272669735121
"2004-06-16",68.5617700426873
"2004-06-17",58.185719784328
"2004-06-18",55.2229514127159
"2004-06-19",75.0628659295289
"2004-06-20",86.2431438080925
"2004-06-21",51.5669727373501
"2004-06-22",58.9495804929941
"2004-06-23",75.1766438397941
"2004-06-24",73.1278590720822
"2004-06-25",74.4505713643699
"2004-06-26",59.3945119215359
"2004-06-27",97.2232350425902
"2004-06-28",54.0398175040549
"2004-06-29",74.2912376248222
"2004-06-30",60.0640560941969
"2004-07-01",60.6973472266613
"2004-07-02",65.8853011920126
"2004-07-03",81.3648092921629
"2004-07-04",70.4088086485801
"2004-07-05",79.3019298949802
"2004-07-06",51.3939762577068
"2004-07-07",68.3263226802047
"2004-07-08",68.4301253562393
"2004-07-09",63.4530723486817
"2004-07-10",67.8121232549302
"2004-07-11",66.3261233283205
"2004-07-12",62.9066728835271
"2004-07-13",73.064339633871
"2004-07-14",80.9605528207272
"2004-07-15",56.0567037577511
"2004-07-16",53.8075738021893
"2004-07-17",62.6254508255763
"2004-07-18",78.3996863390905
"2004-07-19",58.004065761741
"2004-07-20",63.8560103581291
"2004-07-21",68.5468100646502
"2004-07-22",84.3752922283416
"2004-07-23",50.857069148341
"2004-07-24",76.4469557561734
"2004-07-25",88.7403558211917
"2004-07-26",55.1679576725516
"2004-07-27",58.2604899052729
"2004-07-28",33.4176203696771
"2004-07-29",52.0718451942474
"2004-07-30",52.9277646562872
"2004-07-31",70.3166272347528
"2004-08-01",76.292477112707
"2004-08-02",67.1093852114664
"2004-08-03",69.4822360771414
"2004-08-04",60.5851332758465
"2004-08-05",45.478335920663
"2004-08-06",60.5331047991985
"2004-08-07",81.0424024341573
"2004-08-08",78.8328946414959
"2004-08-09",61.717946831067
"2004-08-10",61.6827381392456
"2004-08-11",40.7179223090588
"2004-08-12",58.1754754599183
"2004-08-13",58.1005770169042
"2004-08-14",60.7969826221367
"2004-08-15",95.7844508053345
"2004-08-16",56.0080885599332
"2004-08-17",54.1205970011009
"2004-08-18",58.6295347283957
"2004-08-19",49.8811902697832
"2004-08-20",60.7975399929523
"2004-08-21",82.4453203200851
"2004-08-22",65.4601441666839
"2004-08-23",59.8865770696448
"2004-08-24",59.6089319609412
"2004-08-25",51.7876904999749
"2004-08-26",54.1442430106734
"2004-08-27",59.8852425904137
"2004-08-28",50.0084389742819
"2004-08-29",96.8231648511452
"2004-08-30",67.4561480951097
"2004-08-31",54.9167126962983
"2004-09-01",66.2645785810785
"2004-09-02",64.8562210852901
"2004-09-03",61.4840162042869
"2004-09-04",70.5599828117647
"2004-09-05",66.0196291761886
"2004-09-06",80.6758473970817
"2004-09-07",71.7676759519672
"2004-09-08",47.8760843164735
"2004-09-09",41.1754265358197
"2004-09-10",55.6470114262103
"2004-09-11",81.3919983843898
"2004-09-12",86.7517918413021
"2004-09-13",60.8855006166542
"2004-09-14",51.5004702463765
"2004-09-15",65.1078711760016
"2004-09-16",79.1388584533494
"2004-09-17",68.6450617696576
"2004-09-18",87.1600694414608
"2004-09-19",76.851372956147
"2004-09-20",49.7519037567727
"2004-09-21",58.7212669564247
"2004-09-22",74.4676834099572
"2004-09-23",74.8288461481158
"2004-09-24",71.484471964093
"2004-09-25",93.912626480838
"2004-09-26",88.543813493466
"2004-09-27",60.1652809401678
"2004-09-28",55.213676488471
"2004-09-29",51.9908078725147
"2004-09-30",55.3759946676025
"2004-10-01",53.1751645024296
"2004-10-02",63.7955781671467
"2004-10-03",73.4999075499516
"2004-10-04",68.2883826187517
"2004-10-05",61.5992173181393
"2004-10-06",69.8154795537852
"2004-10-07",70.0568567436342
"2004-10-08",75.8849795609935
"2004-10-09",87.3787014061218
"2004-10-10",77.4952437824163
"2004-10-11",68.8766780227907
"2004-10-12",91.5125587718807
"2004-10-13",68.1069077276886
"2004-10-14",66.6091121416208
"2004-10-15",66.4022356118953
"2004-10-16",77.110952218051
"2004-10-17",111.872610613515
"2004-10-18",66.5712195893054
"2004-10-19",72.7318016044906
"2004-10-20",79.6800730102529
"2004-10-21",59.1693052147585
"2004-10-22",58.0723457507072
"2004-10-23",86.9142716757955
"2004-10-24",83.6037052542347
"2004-10-25",65.0568827984514
"2004-10-26",65.7839144456408
"2004-10-27",52.743499656778
"2004-10-28",59.5639882330573
"2004-10-29",85.5709297291778
"2004-10-30",85.5000258114112
"2004-10-31",56.4246564337846
"2004-11-01",58.4907522120421
"2004-11-02",66.9569931380147
"2004-11-03",51.8545972362053
"2004-11-04",67.6753735626999
"2004-11-05",61.8309726976446
"2004-11-06",83.9017795330431
"2004-11-07",78.858549241918
"2004-11-08",93.2894975623627
"2004-11-09",0
"2004-11-10",44.5795446318392
"2004-11-11",65.4498619148987
"2004-11-12",73.728752949155
"2004-11-13",93.8808394382135
"2004-11-14",94.8597102010622
"2004-11-15",76.1386574862879
"2004-11-16",69.9960819879271
"2004-11-17",79.6366802768687
"2004-11-18",69.4250349919149
"2004-11-19",101.685578945888
"2004-11-20",72.0018177261216
"2004-11-21",90.0823476412344
"2004-11-22",56.2278103236174
"2004-11-23",72.5219306410676
"2004-11-24",81.5933570100397
"2004-11-25",86.8603099711214
"2004-11-26",66.3389773416947
"2004-11-27",79.2251555501886
"2004-11-28",85.0588684422838
"2004-11-29",74.6527586213931
"2004-11-30",71.8449106658637
"2004-12-01",58.2382750356158
"2004-12-02",76.2800315573915
"2004-12-03",77.8283348898491
"2004-12-04",96.9247147989356
"2004-12-05",90.5242242912411
"2004-12-06",85.0013577756974
"2004-12-07",65.8521869663008
"2004-12-08",55.3507607105417
"2004-12-09",52.3714224127873
"2004-12-10",83.1720164767406
"2004-12-11",77.0029632943016
"2004-12-12",66.2464231099966
"2004-12-13",69.4116131490829
"2004-12-14",61.5815925201153
"2004-12-15",74.8059873843623
"2004-12-16",54.7892465819824
"2004-12-17",82.5577656637207
"2004-12-18",65.7792768974018
"2004-12-19",78.6206281362226
"2004-12-20",74.2561094600838
"2004-12-21",77.1070308671074
"2004-12-22",57.2255025864936
"2004-12-23",64.5661953663586
"2004-12-24",89.7041747409451
"2004-12-25",93.1835372079376
"2004-12-26",97.3940736047846
"2004-12-27",87.0111938747073
"2004-12-28",65.7039447021578
"2004-12-29",56.3487528385666
"2004-12-30",63.6724122397996
"2004-12-31",59.7682225864517
"2005-01-01",77.8953890652519
"2005-01-02",64.3864173347323
"2005-01-03",46.0153288416545
"2005-01-04",49.6943385624529
"2005-01-05",54.2463579877025
"2005-01-06",59.8255897120036
"2005-01-07",60.2109782566286
"2005-01-08",54.2337178877533
"2005-01-09",61.2355306855242
"2005-01-10",45.2107346012432
"2005-01-11",53.9240443273113
"2005-01-12",44.6864467267988
"2005-01-13",34.3745229009712
"2005-01-14",52.8552769872689
"2005-01-15",72.6534876590584
"2005-01-16",57.227187303843
"2005-01-17",58.3104293923341
"2005-01-18",58.7566612450413
"2005-01-19",49.5938766780274
"2005-01-20",43.749604594409
"2005-01-21",64.3201043325673
"2005-01-22",65.3254126943302
"2005-01-23",59.5485841428412
"2005-01-24",58.272312831707
"2005-01-25",51.1178960378317
"2005-01-26",51.0402965754473
"2005-01-27",52.3154030265544
"2005-01-28",53.2455237741108
"2005-01-29",78.9393716464966
"2005-01-30",74.5047231060155
"2005-01-31",46.1072345725875
"2005-02-01",45.5492296529304
"2005-02-02",56.5659060943556
"2005-02-03",61.0019620224524
"2005-02-04",41.4445339741009
"2005-02-05",63.7649598891073
"2005-02-06",56.5707724859113
"2005-02-07",65.1358427734173
"2005-02-08",43.4406344051328
"2005-02-09",43.1855056151061
"2005-02-10",51.8517591297573
"2005-02-11",54.6367236468397
"2005-02-12",68.5801186675813
"2005-02-13",51.2585571271192
"2005-02-14",49.5502351821598
"2005-02-15",39.4285583215234
"2005-02-16",42.6714726700222
"2005-02-17",50.4494278927303
"2005-02-18",52.8907365984126
"2005-02-19",60.7997464135878
"2005-02-20",68.7299416277999
"2005-02-21",51.6694261653838
"2005-02-22",54.082611244757
"2005-02-23",52.446032784007
"2005-02-24",54.3729656993404
"2005-02-25",48.5486575287795
"2005-02-26",65.6752504584713
"2005-02-27",87.7543568700839
"2005-02-28",53.8075796581937
"2005-03-01",53.238516160695
"2005-03-02",58.9358872676017
"2005-03-03",50.6634002819619
"2005-03-04",50.4174732227596
"2005-03-05",75.5405134333193
"2005-03-06",65.0614239853168
"2005-03-07",47.0556879537778
"2005-03-08",59.9100241424784
"2005-03-09",62.1736361261463
"2005-03-10",51.3282566680414
"2005-03-11",60.7571584635046
"2005-03-12",66.2260088919355
"2005-03-13",71.6434729982542
"2005-03-14",53.4595331938226
"2005-03-15",48.9761308879921
"2005-03-16",64.1694453472976
"2005-03-17",47.8907710579441
"2005-03-18",72.4860920653933
"2005-03-19",79.9716880099433
"2005-03-20",83.3504900367787
"2005-03-21",57.3102771093182
"2005-03-22",51.4203617585144
"2005-03-23",57.328214450968
"2005-03-24",62.3294544570115
"2005-03-25",68.4818727559735
"2005-03-26",70.8200154787172
"2005-03-27",83.2980726045644
"2005-03-28",66.9639112183051
"2005-03-29",58.9308855273601
"2005-03-30",61.2537605980717
"2005-03-31",70.2108225386411
"2005-04-01",72.4850263176996
"2005-04-02",103.966056279841
"2005-04-03",103.930723835589
"2005-04-04",85.1366485591833
"2005-04-05",75.5668460103922
"2005-04-06",51.7850800987083
"2005-04-07",63.7813718251852
"2005-04-08",60.3212409766682
"2005-04-09",77.1980930722372
"2005-04-10",110.436644394098
"2005-04-11",66.6669045685434
"2005-04-12",60.846947799404
"2005-04-13",71.9346523424755
"2005-04-14",65.5259752858701
"2005-04-15",75.4600860937672
"2005-04-16",116.533087626478
"2005-04-17",91.7904885169925
"2005-04-18",60.3013948073833
"2005-04-19",61.8125814896226
"2005-04-20",63.2802024562517
"2005-04-21",62.9832609826345
"2005-04-22",64.4768575551409
"2005-04-23",90.823052780797
"2005-04-24",74.3345040896124
"2005-04-25",58.61191582262
"2005-04-26",58.0760048276549
"2005-04-27",60.2740123288531
"2005-04-28",64.6140913705683
"2005-04-29",72.3637307409024
"2005-04-30",85.1092535895016
"2005-05-01",87.0476225843535
"2005-05-02",55.8383807169456
"2005-05-03",54.013881816275
"2005-05-04",72.0418289529992
"2005-05-05",63.5182645090251
"2005-05-06",56.0631672973856
"2005-05-07",97.4540993356792
"2005-05-08",77.1172998353806
"2005-05-09",77.2788307437839
"2005-05-10",73.553184651948
"2005-05-11",59.6844832572286
"2005-05-12",78.2449936105304
"2005-05-13",56.5054853205955
"2005-05-14",78.0230342611027
"2005-05-15",104.163802803941
"2005-05-16",74.7473663311051
"2005-05-17",54.3520833866725
"2005-05-18",65.0359938059559
"2005-05-19",70.1630468814603
"2005-05-20",51.6748891574022
"2005-05-21",59.2829580514345
"2005-05-22",80.119988324026
"2005-05-23",66.6538208030869
"2005-05-24",64.3141902292056
"2005-05-25",69.7144415403058
"2005-05-26",63.9906795353122
"2005-05-27",86.5804906198389
"2005-05-28",81.0428444980705
"2005-05-29",70.2719195564848
"2005-05-30",77.1218225944192
"2005-05-31",63.2411730387867
"2005-06-01",55.1080915013283
"2005-06-02",67.8802908241709
"2005-06-03",64.8987239807528
"2005-06-04",64.181471314235
"2005-06-05",84.9291437058881
"2005-06-06",68.8686980729185
"2005-06-07",63.8269536381737
"2005-06-08",39.531016313917
"2005-06-09",58.7793237392281
"2005-06-10",73.0125805868337
"2005-06-11",69.04984472408
"2005-06-12",98.7989406016872
"2005-06-13",76.7009349954079
"2005-06-14",61.4151679778646
"2005-06-15",73.2442748357061
"2005-06-16",60.1977882944584
"2005-06-17",65.7092465653286
"2005-06-18",82.5134890443154
"2005-06-19",78.9995299391199
"2005-06-20",62.421278912957
"2005-06-21",64.2229035981873
"2005-06-22",66.3136229047271
"2005-06-23",70.113827083729
"2005-06-24",64.7786466495936
"2005-06-25",66.9333878143373
"2005-06-26",82.8366291178579
"2005-06-27",65.0913942414302
"2005-06-28",64.3148426057632
"2005-06-29",61.5893635828248
"2005-06-30",71.5172316259102
"2005-07-01",74.011469144481
"2005-07-02",90.921445547888
"2005-07-03",74.6510191779621
"2005-07-04",80.4516236622104
"2005-07-05",57.019392386639
"2005-07-06",72.2131609483588
"2005-07-07",72.3590717279748
"2005-07-08",69.049251666812
"2005-07-09",84.1056627705393
"2005-07-10",82.0078379597437
"2005-07-11",57.3203441869333
"2005-07-12",59.5571450787937
"2005-07-13",74.3145130169608
"2005-07-14",60.38631205021
"2005-07-15",50.7454541553394
"2005-07-16",76.7462343284613
