"date","hits"
"2004-01-01",64
"2004-01-02",91
"2004-01-03",83
"2004-01-04",73
"2004-01-05",81
"2004-01-06",89
"2004-01-07",85
"2004-01-08",79
"2004-01-09",81
"2004-01-10",79
"2004-01-11",80
"2004-01-12",95
"2004-01-13",85
"2004-01-14",82
"2004-01-15",94
"2004-01-16",94
"2004-01-17",77
"2004-01-18",74
"2004-01-19",90
"2004-01-20",89
"2004-01-21",85
"2004-01-22",91
"2004-01-23",87
"2004-01-24",80
"2004-01-25",72
"2004-01-26",81
"2004-01-27",91
"2004-01-28",85
"2004-01-29",85
"2004-01-30",86
"2004-01-31",70
"2004-02-01",72
"2004-02-02",79
"2004-02-03",84
"2004-02-04",80
"2004-02-05",83
"2004-02-06",84
"2004-02-07",73
"2004-02-08",81
"2004-02-09",91
"2004-02-10",83
"2004-02-11",85
"2004-02-12",87
"2004-02-13",89
"2004-02-14",85
"2004-02-15",75
"2004-02-16",91
"2004-02-17",86
"2004-02-18",86
"2004-02-19",88
"2004-02-20",89
"2004-02-21",86
"2004-02-22",75
"2004-02-23",87
"2004-02-24",79
"2004-02-25",88
"2004-02-26",85
"2004-02-27",92
"2004-02-28",79
"2004-02-29",72
"2004-03-01",90
"2004-03-02",82
"2004-03-03",75
"2004-03-04",91
"2004-03-05",76
"2004-03-06",87
"2004-03-07",78
"2004-03-08",0
"2004-03-09",0
"2004-03-10",98
"2004-03-11",80
"2004-03-12",100
"2004-03-13",83
"2004-03-14",83
"2004-03-15",97
"2004-03-16",92
"2004-03-17",83
"2004-03-18",87
"2004-03-19",90
"2004-03-20",82
"2004-03-21",81
"2004-03-22",77
"2004-03-23",0
"2004-03-24",96
"2004-03-25",79
"2004-03-26",97
"2004-03-27",76
"2004-03-28",81
"2004-03-29",94
"2004-03-30",90
"2004-03-31",87.803489742135
"2004-04-01",87.2007903172591
"2004-04-02",86.4824359415089
"2004-04-03",90.6100212344194
"2004-04-04",73.1230936041994
"2004-04-05",95.4100669346389
"2004-04-06",88.5064739467058
"2004-04-07",87.9239822200683
"2004-04-08",91.0867797846322
"2004-04-09",91.2391435888767
"2004-04-10",65.4101275569992
"2004-04-11",72.9365737213205
"2004-04-12",71.7857581767293
"2004-04-13",0
"2004-04-14",73.3726974916982
"2004-04-15",87.5684089857323
"2004-04-16",103.699412714481
"2004-04-17",74.7067691413297
"2004-04-18",68.2989194581727
"2004-04-19",90.153474086254
"2004-04-20",89.7871614623143
"2004-04-21",93.2807395520695
"2004-04-22",78.3755068480434
"2004-04-23",98.4562833906419
"2004-04-24",93.9420822389452
"2004-04-25",71.4124415821118
