"date","hits"
"2004-01-01",79
"2004-01-02",73
"2004-01-03",84
"2004-01-04",31
"2004-01-05",48
"2004-01-06",28
"2004-01-07",37
"2004-01-08",45
"2004-01-09",76
"2004-01-10",67
"2004-01-11",71
"2004-01-12",61
"2004-01-13",39
"2004-01-14",83
"2004-01-15",56
"2004-01-16",38
"2004-01-17",66
"2004-01-18",60
"2004-01-19",73
"2004-01-20",31
"2004-01-21",73
"2004-01-22",36
"2004-01-23",68
"2004-01-24",69
"2004-01-25",44
"2004-01-26",54
"2004-01-27",64
"2004-01-28",46
"2004-01-29",62
"2004-01-30",16
"2004-01-31",31
"2004-02-01",83
"2004-02-02",37
"2004-02-03",39
"2004-02-04",40
"2004-02-05",55
"2004-02-06",61
"2004-02-07",0
"2004-02-08",56
"2004-02-09",30
"2004-02-10",69
"2004-02-11",67
"2004-02-12",46
"2004-02-13",70
"2004-02-14",58
"2004-02-15",100
"2004-02-16",90
"2004-02-17",78
"2004-02-18",44
"2004-02-19",52
"2004-02-20",44
"2004-02-21",37
"2004-02-22",71
"2004-02-23",51
"2004-02-24",63
"2004-02-25",58
"2004-02-26",66
"2004-02-27",44
"2004-02-28",69
"2004-02-29",54
"2004-03-01",45
"2004-03-02",50
"2004-03-03",95
"2004-03-04",72
"2004-03-05",68
"2004-03-06",73
"2004-03-07",53
"2004-03-08",0
"2004-03-09",0
"2004-03-10",67
"2004-03-11",80
"2004-03-12",28
"2004-03-13",32
"2004-03-14",50
"2004-03-15",67
"2004-03-16",54
"2004-03-17",44
"2004-03-18",53
"2004-03-19",33
"2004-03-20",29
"2004-03-21",57
"2004-03-22",45
"2004-03-23",0
"2004-03-24",35
"2004-03-25",61
"2004-03-26",76
"2004-03-27",64
"2004-03-28",46
"2004-03-29",76
"2004-03-30",41
"2004-03-31",57.9911093321133
"2004-04-01",26.1581121010297
"2004-04-02",31.3295258338499
"2004-04-03",45.7183247442711
"2004-04-04",53.0815125759389
"2004-04-05",42.767628159095
"2004-04-06",53.7054343075407
"2004-04-07",68.8482340989232
"2004-04-08",32.6227839806058
"2004-04-09",33.9080551389916
"2004-04-10",39.0986635902152
"2004-04-11",49.2177654280074
"2004-04-12",67.913635573244
"2004-04-13",0
"2004-04-14",31.0336518116935
"2004-04-15",52.7641651651859
"2004-04-16",50.5647703683929
"2004-04-17",75.9591366273167
"2004-04-18",36.5379917611634
"2004-04-19",53.2356725599661
"2004-04-20",49.7486777904622
"2004-04-21",48.6846450767258
"2004-04-22",66.5191741959792
"2004-04-23",36.6047382734468
"2004-04-24",101.269416113925
"2004-04-25",22.5378733599025
"2004-04-26",25.7017040091826
"2004-04-27",40.9489604140568
"2004-04-28",60.9996717595145
"2004-04-29",56.325796740074
"2004-04-30",41.5329557884686
"2004-05-01",58.3853497733414
"2004-05-02",37.5269467723477
"2004-05-03",45.3091234905263
"2004-05-04",23.9238390457129
"2004-05-05",68.7259345083829
"2004-05-06",94.3479617925997
"2004-05-07",55.677064778453
"2004-05-08",55.3828829074423
"2004-05-09",41.7714482651527
"2004-05-10",83.5282661215247
"2004-05-11",28.9887009496156
"2004-05-12",43.8279415350732
"2004-05-13",41.9781195731648
"2004-05-14",77.2320450388203
"2004-05-15",62.6135113683989
"2004-05-16",75.3651102323224
"2004-05-17",30.6892883585202
"2004-05-18",82.9586907876898
"2004-05-19",39.3914160534938
"2004-05-20",55.6511693314861
"2004-05-21",43.5706650923103
"2004-05-22",41.1928134447678
"2004-05-23",120.076638443865
"2004-05-24",86.6254849823818
"2004-05-25",77.8674471386003
"2004-05-26",32.1383689644646
"2004-05-27",53.7049087124941
"2004-05-28",68.9134914447796
"2004-05-29",48.3971990346216
"2004-05-30",79.0057586262296
"2004-05-31",52.4703628234958
"2004-06-01",35.3449783728492
"2004-06-02",67.8671537085013
"2004-06-03",17.0318169436697
"2004-06-04",38.6087571324501
"2004-06-05",35.3836080059668
"2004-06-06",55.4524975667922
"2004-06-07",45.8077681226172
"2004-06-08",44.9292596416568
"2004-06-09",37.4051636106732
"2004-06-10",42.7269692381981
"2004-06-11",65.5665983525475
"2004-06-12",44.8442176753476
"2004-06-13",34.457290404452
"2004-06-14",29.2403416290573
"2004-06-15",63.3714994408851
"2004-06-16",45.6897038192993
"2004-06-17",61.3221246441133
"2004-06-18",61.390000988591
"2004-06-19",86.0571374498098
"2004-06-20",110.542541264774
"2004-06-21",54.0732552411272
"2004-06-22",48.6282549795767
"2004-06-23",52.9506307954792
"2004-06-24",30.9247280197849
"2004-06-25",34.903283684855
"2004-06-26",34.1539146975152
"2004-06-27",24.5031442796101
"2004-06-28",52.9604194386174
"2004-06-29",26.0267786964594
"2004-06-30",53.3067856149979
"2004-07-01",24.0281500182533
"2004-07-02",80.3681485481772
"2004-07-03",37.972140909019
"2004-07-04",38.2967147584067
"2004-07-05",30.9023408215191
"2004-07-06",16.2240779952983
"2004-07-07",52.6290552571465
"2004-07-08",46.3586533723939
"2004-07-09",43.9869431076691
"2004-07-10",52.6865754214609
"2004-07-11",74.7266404632078
"2004-07-12",24.0784156385859
"2004-07-13",23.1451588615333
"2004-07-14",43.6170645735489
"2004-07-15",48.0576454437739
"2004-07-16",27.2670135343988
"2004-07-17",39.5848886608172
"2004-07-18",33.843556553201
"2004-07-19",33.6566690800175
"2004-07-20",41.1271814801401
"2004-07-21",39.7188192242473
"2004-07-22",30.6778541485315
"2004-07-23",53.964434040622
"2004-07-24",42.8214095206295
"2004-07-25",37.270358840223
"2004-07-26",38.1557829464439
"2004-07-27",38.3304094811778
"2004-07-28",33.5745487157996
"2004-07-29",62.989732964819
"2004-07-30",28.4194377825501
"2004-07-31",38.1119109721007
"2004-08-01",40.8190934969276
"2004-08-02",45.485360848006
"2004-08-03",16.0821087007878
"2004-08-04",25.098482853647
"2004-08-05",49.9171346637931
"2004-08-06",41.2456606653148
"2004-08-07",38.7763598235412
"2004-08-08",29.5105762520565
"2004-08-09",42.6462607219449
"2004-08-10",31.6680303194652
"2004-08-11",29.7141001174468
"2004-08-12",46.385673476823
"2004-08-13",54.4728843006261
"2004-08-14",48.8627893509151
"2004-08-15",46.6896960029726
"2004-08-16",41.7182098030949
"2004-08-17",50.8866693269891
"2004-08-18",25.5497139152356
"2004-08-19",42.858729278707
"2004-08-20",41.065574182321
"2004-08-21",57.6604880945579
"2004-08-22",40.9476072026347
"2004-08-23",33.6262732847382
"2004-08-24",32.598047833726
"2004-08-25",65.4838579774045
"2004-08-26",34.6606658084771
"2004-08-27",36.8129371717412
"2004-08-28",36.042250590936
"2004-08-29",29.1261180079191
"2004-08-30",50.7132556695841
"2004-08-31",30.2055588692276
"2004-09-01",113.510112996154
"2004-09-02",44.9578973073206
"2004-09-03",65.7433769685707
"2004-09-04",97.6882489941482
"2004-09-05",38.359739489656
"2004-09-06",63.3894149537795
"2004-09-07",36.9215654969781
"2004-09-08",39.0000204273819
"2004-09-09",64.364782638702
"2004-09-10",58.1285106088558
"2004-09-11",50.9879068075738
"2004-09-12",48.6233479174537
"2004-09-13",30.3376339958917
"2004-09-14",31.2068745934606
"2004-09-15",41.695749538581
"2004-09-16",77.3822362354794
"2004-09-17",42.4755436629922
"2004-09-18",50.4640532415471
"2004-09-19",46.9468718479121
"2004-09-20",45.5492109082355
"2004-09-21",31.7635878052688
"2004-09-22",49.7548135950664
"2004-09-23",35.6432964989196
"2004-09-24",55.9747458091449
"2004-09-25",72.4501911068353
"2004-09-26",56.499237966605
"2004-09-27",40.449870277077
"2004-09-28",72.6144689693849
"2004-09-29",26.9015289543164
"2004-09-30",59.4917707068262
"2004-10-01",35.4939725541615
"2004-10-02",47.2122660328177
