"date","hits"
"2004-01-01",52
"2004-01-02",84
"2004-01-03",47
"2004-01-04",60
"2004-01-05",42
"2004-01-06",97
"2004-01-07",90
"2004-01-08",82
"2004-01-09",79
"2004-01-10",46
"2004-01-11",57
"2004-01-12",79
"2004-01-13",80
"2004-01-14",87
"2004-01-15",85
"2004-01-16",81
"2004-01-17",46
"2004-01-18",61
"2004-01-19",84
"2004-01-20",79
"2004-01-21",91
"2004-01-22",78
"2004-01-23",70
"2004-01-24",60
"2004-01-25",49
"2004-01-26",83
"2004-01-27",91
"2004-01-28",73
"2004-01-29",76
"2004-01-30",90
"2004-01-31",63
"2004-02-01",59
"2004-02-02",67
"2004-02-03",75
"2004-02-04",77
"2004-02-05",87
"2004-02-06",77
"2004-02-07",40
"2004-02-08",45
"2004-02-09",82
"2004-02-10",97
"2004-02-11",78
"2004-02-12",81
"2004-02-13",79
"2004-02-14",52
"2004-02-15",60
"2004-02-16",86
"2004-02-17",85
"2004-02-18",89
"2004-02-19",81
"2004-02-20",74
"2004-02-21",53
"2004-02-22",64
"2004-02-23",90
"2004-02-24",84
"2004-02-25",86
"2004-02-26",85
"2004-02-27",75
"2004-02-28",50
"2004-02-29",48
"2004-03-01",97
"2004-03-02",69
"2004-03-03",77
"2004-03-04",81
"2004-03-05",58
"2004-03-06",60
"2004-03-07",43
"2004-03-08",0
"2004-03-09",0
"2004-03-10",97
"2004-03-11",72
"2004-03-12",67
"2004-03-13",68
"2004-03-14",64
"2004-03-15",95
"2004-03-16",92
"2004-03-17",100
"2004-03-18",86
"2004-03-19",77
"2004-03-20",64
"2004-03-21",64
"2004-03-22",65
"2004-03-23",0
"2004-03-24",93
"2004-03-25",66
"2004-03-26",89
"2004-03-27",61
"2004-03-28",48
"2004-03-29",88
"2004-03-30",86
"2004-03-31",79.0254841123895
"2004-04-01",77.6447535066616
"2004-04-02",87.2139301996756
"2004-04-03",58.7436875713331
"2004-04-04",52.4746551620845
"2004-04-05",87.6574943304797
"2004-04-06",79.3121955710491
"2004-04-07",74.4508150202517
"2004-04-08",77.1248901964735
"2004-04-09",78.072665807272
"2004-04-10",57.4007597918581
"2004-04-11",51.1604696303118
"2004-04-12",58.0227529784282
"2004-04-13",0
"2004-04-14",65.2430096581639
"2004-04-15",79.1471679863921
"2004-04-16",66.4241693346637
"2004-04-17",57.7650901255591
"2004-04-18",50.2232216784925
"2004-04-19",84.3797065739081
"2004-04-20",66.2430577350683
"2004-04-21",83.3212340475618
"2004-04-22",81.5069255111802
"2004-04-23",78.6137190755289
"2004-04-24",58.1322064904445
"2004-04-25",69.5228721164791
"2004-04-26",93.7667640419147
"2004-04-27",73.5708887135471
"2004-04-28",94.6676550377287
"2004-04-29",72.5419766320321
"2004-04-30",74.4185442341383
"2004-05-01",50.6098908501877
"2004-05-02",61.9252028689422
"2004-05-03",81.712031106503
"2004-05-04",81.682343238439
"2004-05-05",76.5356037958977
"2004-05-06",80.3805747623361
"2004-05-07",85.250474436569
"2004-05-08",50.5184270037663
"2004-05-09",46.1865244843674
"2004-05-10",87.0798622219578
"2004-05-11",88.0267502875412
"2004-05-12",72.4545032588882
"2004-05-13",82.0626268216754
"2004-05-14",75.5689198350626
"2004-05-15",54.5885940267236
"2004-05-16",48.0116670339505
"2004-05-17",76.8481591788324
"2004-05-18",74.1134958226389
"2004-05-19",74.8579921351966
"2004-05-20",79.4152298724347
"2004-05-21",67.4195926899226
"2004-05-22",56.9417716119945
"2004-05-23",61.5008320594414
"2004-05-24",73.9587445264918
"2004-05-25",72.2687227995599
"2004-05-26",73.612112006433
"2004-05-27",77.4189575400307
"2004-05-28",69.0973143707635
"2004-05-29",65.0756211227043
"2004-05-30",59.9904006660604
"2004-05-31",66.8335655692646
"2004-06-01",77.3602408090785
"2004-06-02",89.6440628164617
"2004-06-03",84.487347381733
"2004-06-04",77.5921202676873
"2004-06-05",60.0412170664962
"2004-06-06",64.4679967433007
"2004-06-07",96.0244936156492
"2004-06-08",89.2085371725768
"2004-06-09",85.3132031653262
"2004-06-10",83.4430519765844
"2004-06-11",83.1619693077559
"2004-06-12",52.7601266233611
"2004-06-13",51.2551288220042
"2004-06-14",79.5145093140745
"2004-06-15",83.9896865416625
"2004-06-16",91.7196437361634
"2004-06-17",73.3481997724495
"2004-06-18",78.2259531484332
"2004-06-19",50.8718794680519
"2004-06-20",59.8208978072069
"2004-06-21",82.8119500653375
"2004-06-22",82.5111546586568
"2004-06-23",82.8389349265434
"2004-06-24",86.181217437381
"2004-06-25",85.9222494358079
"2004-06-26",48.0799038259759
"2004-06-27",58.4483273036997
"2004-06-28",83.7115423532521
"2004-06-29",93.2396325862123
"2004-06-30",80.089125434478
"2004-07-01",82.2386238225425
"2004-07-02",69.4200105511883
"2004-07-03",57.4609762463863
"2004-07-04",60.9653830853888
"2004-07-05",55.2591218483335
"2004-07-06",90.2227572546057
