"date","hits"
"2004-01-01",31
"2004-01-02",40
"2004-01-03",58
"2004-01-04",24
"2004-01-05",19
"2004-01-06",20
"2004-01-07",49
"2004-01-08",54
"2004-01-09",58
"2004-01-10",40
"2004-01-11",40
"2004-01-12",22
"2004-01-13",35
"2004-01-14",51
"2004-01-15",40
"2004-01-16",48
"2004-01-17",51
"2004-01-18",28
"2004-01-19",35
"2004-01-20",44
"2004-01-21",55
"2004-01-22",47
"2004-01-23",44
"2004-01-24",26
"2004-01-25",33
"2004-01-26",36
"2004-01-27",45
"2004-01-28",34
"2004-01-29",48
"2004-01-30",32
"2004-01-31",26
"2004-02-01",30
"2004-02-02",37
"2004-02-03",38
"2004-02-04",41
"2004-02-05",58
"2004-02-06",27
"2004-02-07",20
"2004-02-08",100
"2004-02-09",66
"2004-02-10",63
"2004-02-11",57
"2004-02-12",47
"2004-02-13",52
"2004-02-14",27
"2004-02-15",63
"2004-02-16",54
"2004-02-17",60
"2004-02-18",40
"2004-02-19",49
"2004-02-20",29
"2004-02-21",47
"2004-02-22",64
"2004-02-23",48
"2004-02-24",42
"2004-02-25",48
"2004-02-26",41
"2004-02-27",38
"2004-02-28",41
"2004-02-29",53
"2004-03-01",45
"2004-03-02",51
"2004-03-03",23
"2004-03-04",49
"2004-03-05",65
"2004-03-06",18
"2004-03-07",21
"2004-03-08",0
"2004-03-09",0
"2004-03-10",64
"2004-03-11",96
"2004-03-12",43
"2004-03-13",34
"2004-03-14",48
"2004-03-15",62
"2004-03-16",53
"2004-03-17",53
"2004-03-18",59
"2004-03-19",65
"2004-03-20",53
"2004-03-21",41
"2004-03-22",62
"2004-03-23",0
"2004-03-24",66
"2004-03-25",32
"2004-03-26",40
"2004-03-27",34
"2004-03-28",35
"2004-03-29",48
"2004-03-30",55
"2004-03-31",63.9988445345829
"2004-04-01",102.12282571282
"2004-04-02",55.723063961078
"2004-04-03",29.5572121480672
"2004-04-04",69.9779627314251
"2004-04-05",54.7523475774642
"2004-04-06",71.3861403358032
"2004-04-07",55.1443587577978
"2004-04-08",66.2853515003833
"2004-04-09",43.197788078342
"2004-04-10",68.6243619422201
"2004-04-11",81.9900038530667
"2004-04-12",79.5564229170402
"2004-04-13",0
"2004-04-14",48.9470712977309
"2004-04-15",64.9715123062682
"2004-04-16",70.3899381603908
"2004-04-17",52.6308952683087
"2004-04-18",63.6547439073401
"2004-04-19",107.128185888502
"2004-04-20",54.4490528564893
