"date","hits"
"2004-01-01",0
"2004-01-02",0
"2004-01-03",39
"2004-01-04",58
"2004-01-05",46
"2004-01-06",31
"2004-01-07",11
"2004-01-08",23
"2004-01-09",41
"2004-01-10",19
"2004-01-11",19
"2004-01-12",17
"2004-01-13",44
"2004-01-14",22
"2004-01-15",39
"2004-01-16",23
"2004-01-17",18
"2004-01-18",19
"2004-01-19",32
"2004-01-20",22
"2004-01-21",21
"2004-01-22",16
"2004-01-23",11
"2004-01-24",18
"2004-01-25",0
"2004-01-26",43
"2004-01-27",53
"2004-01-28",26
"2004-01-29",27
"2004-01-30",11
"2004-01-31",26
"2004-02-01",18
"2004-02-02",16
"2004-02-03",30
"2004-02-04",30
"2004-02-05",15
"2004-02-06",11
"2004-02-07",46
"2004-02-08",26
"2004-02-09",26
"2004-02-10",20
"2004-02-11",31
"2004-02-12",21
"2004-02-13",29
"2004-02-14",18
"2004-02-15",19
"2004-02-16",24
"2004-02-17",31
"2004-02-18",20
"2004-02-19",31
"2004-02-20",22
"2004-02-21",51
"2004-02-22",25
"2004-02-23",36
"2004-02-24",26
"2004-02-25",20
"2004-02-26",31
"2004-02-27",28
"2004-02-28",26
"2004-02-29",0
"2004-03-01",35
"2004-03-02",20
"2004-03-03",71
"2004-03-04",28
"2004-03-05",0
"2004-03-06",55
"2004-03-07",100
"2004-03-08",0
"2004-03-09",0
"2004-03-10",36
"2004-03-11",56
"2004-03-12",23
"2004-03-13",35
"2004-03-14",17
"2004-03-15",31
"2004-03-16",20
"2004-03-17",20
"2004-03-18",11
"2004-03-19",23
"2004-03-20",18
"2004-03-21",35
"2004-03-22",83
"2004-03-23",0
"2004-03-24",28
"2004-03-25",0
"2004-03-26",31
"2004-03-27",18
"2004-03-28",37
"2004-03-29",20
"2004-03-30",14
"2004-03-31",34.1142956866658
"2004-04-01",22.1819306253755
"2004-04-02",33.6709583943211
"2004-04-03",17.5637802231397
"2004-04-04",18.3547169906335
"2004-04-05",22.3093877666091
"2004-04-06",31.5846881056362
"2004-04-07",35.6713320663241
"2004-04-08",37.1397101875136
"2004-04-09",37.990582190451
"2004-04-10",56.1903103630622
"2004-04-11",64.7985043199243
"2004-04-12",114.852279336322
"2004-04-13",0
"2004-04-14",27.7510505855344
"2004-04-15",39.2497477823721
"2004-04-16",31.0378427509218
"2004-04-17",30.8410452131649
"2004-04-18",18.4234922627751
