"date","hits"
"2004-01-01",47
"2004-01-02",44
"2004-01-03",28
"2004-01-04",27
"2004-01-05",64
"2004-01-06",40
"2004-01-07",52
"2004-01-08",59
"2004-01-09",47
"2004-01-10",63
"2004-01-11",38
"2004-01-12",70
"2004-01-13",56
"2004-01-14",75
"2004-01-15",47
"2004-01-16",34
"2004-01-17",42
"2004-01-18",16
"2004-01-19",36
"2004-01-20",31
"2004-01-21",55
"2004-01-22",28
"2004-01-23",36
"2004-01-24",35
"2004-01-25",49
"2004-01-26",88
"2004-01-27",39
"2004-01-28",45
"2004-01-29",56
"2004-01-30",36
"2004-01-31",50
"2004-02-01",25
"2004-02-02",53
"2004-02-03",37
"2004-02-04",51
"2004-02-05",35
"2004-02-06",30
"2004-02-07",39
"2004-02-08",52
"2004-02-09",47
"2004-02-10",43
"2004-02-11",65
"2004-02-12",57
"2004-02-13",42
"2004-02-14",23
"2004-02-15",32
"2004-02-16",48
"2004-02-17",38
"2004-02-18",50
"2004-02-19",53
"2004-02-20",32
"2004-02-21",39
"2004-02-22",43
"2004-02-23",38
"2004-02-24",56
"2004-02-25",61
"2004-02-26",53
"2004-02-27",28
"2004-02-28",100
"2004-02-29",42
"2004-03-01",36
"2004-03-02",40
"2004-03-03",70
"2004-03-04",53
"2004-03-05",33
"2004-03-06",47
"2004-03-07",85
"2004-03-08",0
"2004-03-09",0
"2004-03-10",82
"2004-03-11",53
"2004-03-12",31
"2004-03-13",40
"2004-03-14",30
"2004-03-15",53
"2004-03-16",34
"2004-03-17",38
"2004-03-18",45
"2004-03-19",35
"2004-03-20",46
"2004-03-21",35
"2004-03-22",35
"2004-03-23",0
"2004-03-24",56
"2004-03-25",65
"2004-03-26",27
"2004-03-27",45
"2004-03-28",73
"2004-03-29",43
"2004-03-30",38
"2004-03-31",38.5940760157274
"2004-04-01",38.6358186475865
"2004-04-02",22.4809805970526
"2004-04-03",28.2836680917249
"2004-04-04",34.8415119794463
"2004-04-05",46.3091914406926
"2004-04-06",30.4276686751206
"2004-04-07",52.8499191675162
"2004-04-08",48.7098698745434
"2004-04-09",21.7928939987228
"2004-04-10",39.5853806922375
"2004-04-11",41.139301501123
"2004-04-12",109.852359202122
"2004-04-13",0
"2004-04-14",40.2386503345653
"2004-04-15",48.879802666734
"2004-04-16",57.4165227663713
"2004-04-17",36.6609028590351
"2004-04-18",25.5505242640148
"2004-04-19",36.8680400836699
"2004-04-20",57.0638327272627
"2004-04-21",54.6606502628001
"2004-04-22",20.5509921933009
"2004-04-23",52.9562051347087
"2004-04-24",53.2312681797928
"2004-04-25",25.2730891155793
"2004-04-26",33.0906920935798
"2004-04-27",47.0197641482437
"2004-04-28",51.4500002434951
"2004-04-29",39.6892876756049
"2004-04-30",41.3295533664263
"2004-05-01",18.2004323809999
"2004-05-02",52.9956822158459
"2004-05-03",43.727798383675
"2004-05-04",65.4908826306996
"2004-05-05",62.3879166588307
"2004-05-06",34.0216651577436
"2004-05-07",41.8031649400027
