"date","hits"
"2004-01-01",0
"2004-01-02",58
"2004-01-03",36
"2004-01-04",36
"2004-01-05",0
"2004-01-06",44
"2004-01-07",42
"2004-01-08",43
"2004-01-09",43
"2004-01-10",0
"2004-01-11",0
"2004-01-12",42
"2004-01-13",0
"2004-01-14",0
"2004-01-15",41
"2004-01-16",22
"2004-01-17",0
"2004-01-18",35
"2004-01-19",23
"2004-01-20",40
"2004-01-21",30
"2004-01-22",30
"2004-01-23",21
"2004-01-24",32
"2004-01-25",32
"2004-01-26",20
"2004-01-27",0
"2004-01-28",0
"2004-01-29",0
"2004-01-30",42
"2004-01-31",0
"2004-02-01",33
"2004-02-02",19
"2004-02-03",18
"2004-02-04",46
"2004-02-05",47
"2004-02-06",0
"2004-02-07",0
"2004-02-08",0
"2004-02-09",19
"2004-02-10",19
"2004-02-11",67
"2004-02-12",97
"2004-02-13",42
"2004-02-14",0
"2004-02-15",34
"2004-02-16",22
"2004-02-17",39
"2004-02-18",19
"2004-02-19",19
"2004-02-20",21
"2004-02-21",0
"2004-02-22",0
"2004-02-23",47
"2004-02-24",57
"2004-02-25",57
"2004-02-26",57
"2004-02-27",0
"2004-02-28",0
"2004-02-29",92
"2004-03-01",26
"2004-03-02",56
"2004-03-03",66
"2004-03-04",40
"2004-03-05",70
"2004-03-06",100
"2004-03-07",0
"2004-03-08",0
"2004-03-09",0
"2004-03-10",0
"2004-03-11",0
"2004-03-12",43
"2004-03-13",32
"2004-03-14",32
"2004-03-15",29
"2004-03-16",37
"2004-03-17",47
"2004-03-18",20
"2004-03-19",52
"2004-03-20",33
"2004-03-21",0
"2004-03-22",0
"2004-03-23",0
"2004-03-24",26
"2004-03-25",70
"2004-03-26",43
"2004-03-27",0
"2004-03-28",34
"2004-03-29",38
"2004-03-30",18
"2004-03-31",33.9538345504113
"2004-04-01",29.6104109415122
"2004-04-02",24.7966360290163
"2004-04-03",0
"2004-04-04",37.7383673740068
"2004-04-05",41.6154528289858
"2004-04-06",37.5876297567577
"2004-04-07",11.3508427068555
"2004-04-08",29.8122520082138
"2004-04-09",25.5301187429718
"2004-04-10",27.512214333052
"2004-04-11",75.9980218694518
"2004-04-12",0
"2004-04-13",0
"2004-04-14",13.9697438770118
"2004-04-15",28.8023504835933
"2004-04-16",17.8978001109203
"2004-04-17",26.1795895009942
"2004-04-18",82.1928829515811
"2004-04-19",81.9352052608577
"2004-04-20",28.6952115555247
"2004-04-21",44.6011364853905
"2004-04-22",27.6725879693379
"2004-04-23",28.1633461295981
"2004-04-24",0
"2004-04-25",31.660331849051
"2004-04-26",63.5890549276896
"2004-04-27",13.5407098732179
"2004-04-28",10.0190147433861
"2004-04-29",26.4217808642654
"2004-04-30",15.5990285144664
"2004-05-01",0
"2004-05-02",0
"2004-05-03",25.6407283223477
"2004-05-04",30.8116770267069
"2004-05-05",39.5350155535919
"2004-05-06",41.3483783366575
"2004-05-07",20.6982836219114
"2004-05-08",0
"2004-05-09",0
"2004-05-10",0
"2004-05-11",12.7840952486561
"2004-05-12",18.0838378398772
"2004-05-13",25.8795746336921
"2004-05-14",30.7614453659652
"2004-05-15",0
"2004-05-16",17.4045097843607
"2004-05-17",22.6134381227269
"2004-05-18",17.6432175749978
"2004-05-19",30.1832689451373
"2004-05-20",25.285396489198
"2004-05-21",19.5698264236426
"2004-05-22",0
"2004-05-23",28.7127753589243
"2004-05-24",13.5182043091928
"2004-05-25",71.8314823895157
"2004-05-26",58.8656873146933
"2004-05-27",31.0550383121357
"2004-05-28",42.3886033912675
"2004-05-29",0
"2004-05-30",40.5531082320523
"2004-05-31",0
"2004-06-01",14.9540543898934
"2004-06-02",0
"2004-06-03",14.7996676516466
"2004-06-04",0
"2004-06-05",30.4418712076189
"2004-06-06",32.0802596244264
"2004-06-07",64.6897057096841
"2004-06-08",57.938216804316
"2004-06-09",15.4176315604207
"2004-06-10",0
"2004-06-11",32.8288877441846
"2004-06-12",0
"2004-06-13",27.5006194350277
"2004-06-14",0
"2004-06-15",0
"2004-06-16",0
"2004-06-17",0
"2004-06-18",17.7806521848501
"2004-06-19",23.7312254305595
"2004-06-20",0
"2004-06-21",0
"2004-06-22",0
"2004-06-23",0
"2004-06-24",0
"2004-06-25",26.5615503888199
"2004-06-26",0
"2004-06-27",54.1679625105937
"2004-06-28",21.9622407645731
"2004-06-29",0
"2004-06-30",0
"2004-07-01",0
"2004-07-02",0
"2004-07-03",0
"2004-07-04",42.0100019996506
"2004-07-05",0
"2004-07-06",18.7898431554727
"2004-07-07",19.0142298719416
"2004-07-08",0
"2004-07-09",48.4105575322161
"2004-07-10",0
"2004-07-11",0
"2004-07-12",0
"2004-07-13",0
"2004-07-14",130.042527018216
"2004-07-15",0
"2004-07-16",0
"2004-07-17",0
"2004-07-18",56.9599832615361
"2004-07-19",22.5080540645623
"2004-07-20",20.3741275432411
"2004-07-21",25.2363024119847
"2004-07-22",0
"2004-07-23",19.8482573073796
"2004-07-24",0
"2004-07-25",0
"2004-07-26",0
"2004-07-27",48.28716225086
"2004-07-28",0
"2004-07-29",41.3458482314758
"2004-07-30",37.292542418385
"2004-07-31",0
"2004-08-01",0
"2004-08-02",20.2982803424418
"2004-08-03",20.0518175732547
"2004-08-04",39.6562112663659
"2004-08-05",22.2834721056247
"2004-08-06",21.1886039149218
"2004-08-07",0
"2004-08-08",60.6667347918646
"2004-08-09",0
"2004-08-10",25.232206392678
"2004-08-11",0
"2004-08-12",0
"2004-08-13",29.9090711902127
"2004-08-14",48.9914457645244
"2004-08-15",33.2226911292131
"2004-08-16",0
"2004-08-17",0
"2004-08-18",18.6454694872015
"2004-08-19",0
"2004-08-20",0
"2004-08-21",37.2697185302269
"2004-08-22",40.2238571017767
"2004-08-23",0
"2004-08-24",20.8503210406857
"2004-08-25",20.732139487577
"2004-08-26",21.3730366654159
"2004-08-27",0
"2004-08-28",0
"2004-08-29",48.8298965790464
"2004-08-30",49.308940678696
"2004-08-31",31.1613831954418
"2004-09-01",54.6729077275684
"2004-09-02",35.4090861825349
"2004-09-03",0
"2004-09-04",0
"2004-09-05",49.2334804574382
"2004-09-06",59.3504569083516
"2004-09-07",23.8214159476485
"2004-09-08",0
"2004-09-09",40.4435761579686
"2004-09-10",95.7349356596377
"2004-09-11",41.6980040495048
"2004-09-12",0
"2004-09-13",34.397562051644
"2004-09-14",42.1322269729186
"2004-09-15",20.1119919200902
"2004-09-16",33.6140663929355
"2004-09-17",24.482479821293
"2004-09-18",101.19504570974
"2004-09-19",50.2103673799985
"2004-09-20",19.4917839672108
"2004-09-21",23.6147455171171
"2004-09-22",24.6699720836337
"2004-09-23",0
"2004-09-24",78.0712019015517
"2004-09-25",57.7650323910979
"2004-09-26",0
"2004-09-27",21.712154782701
"2004-09-28",28.5628616316662
"2004-09-29",27.3687666335126
"2004-09-30",29.9884629899343
"2004-10-01",33.781997417805
"2004-10-02",0
"2004-10-03",51.5213205139067
"2004-10-04",40.1330893237644
"2004-10-05",0
"2004-10-06",0
"2004-10-07",40.8183499716126
"2004-10-08",0
"2004-10-09",97.3660062671382
"2004-10-10",94.623001007085
"2004-10-11",36.5311288203489
"2004-10-12",82.957483867699
"2004-10-13",64.4839399870894
"2004-10-14",62.1206086766396
"2004-10-15",18.9045207967467
"2004-10-16",0
"2004-10-17",30.4110757241231
"2004-10-18",35.3566461439445
"2004-10-19",73.6117646046166
"2004-10-20",74.7633907721141
"2004-10-21",34.0666244157275
"2004-10-22",118.882234400522
"2004-10-23",44.5035149847484
"2004-10-24",40.5337472083968
"2004-10-25",35.0077539393933
"2004-10-26",57.6713263221639
"2004-10-27",27.5271472789795
"2004-10-28",65.1839621209417
"2004-10-29",110.998186725594
"2004-10-30",0
"2004-10-31",57.4110494097156
"2004-11-01",25.2329441663123
"2004-11-02",24.2064773741018
"2004-11-03",60.8729150091019
"2004-11-04",79.8259496584006
"2004-11-05",27.2769244306781
"2004-11-06",24.5639326853677
"2004-11-07",22.7479969969197
"2004-11-08",145.112842200643
"2004-11-09",57.9412498795128
"2004-11-10",18.366951796328
