"date","hits"
"2004-01-01",20
"2004-01-02",38
"2004-01-03",32
"2004-01-04",32
"2004-01-05",100
"2004-01-06",26
"2004-01-07",63
"2004-01-08",53
"2004-01-09",32
"2004-01-10",26
"2004-01-11",57
"2004-01-12",62
"2004-01-13",45
"2004-01-14",96
"2004-01-15",70
"2004-01-16",68
"2004-01-17",25
"2004-01-18",15
"2004-01-19",69
"2004-01-20",63
"2004-01-21",68
"2004-01-22",66
"2004-01-23",41
"2004-01-24",29
"2004-01-25",38
"2004-01-26",68
"2004-01-27",60
"2004-01-28",50
"2004-01-29",45
"2004-01-30",47
"2004-01-31",10
"2004-02-01",44
"2004-02-02",57
"2004-02-03",65
"2004-02-04",50
"2004-02-05",67
"2004-02-06",35
"2004-02-07",63
"2004-02-08",28
"2004-02-09",62
"2004-02-10",59
"2004-02-11",45
"2004-02-12",64
"2004-02-13",57
"2004-02-14",25
"2004-02-15",26
"2004-02-16",59
"2004-02-17",68
"2004-02-18",59
"2004-02-19",71
"2004-02-20",28
"2004-02-21",79
"2004-02-22",36
"2004-02-23",42
"2004-02-24",54
"2004-02-25",56
"2004-02-26",79
"2004-02-27",39
"2004-02-28",39
"2004-02-29",54
"2004-03-01",73
"2004-03-02",52
"2004-03-03",39
"2004-03-04",51
"2004-03-05",83
"2004-03-06",22
"2004-03-07",54
"2004-03-08",0
"2004-03-09",0
"2004-03-10",71
"2004-03-11",31
"2004-03-12",94
"2004-03-13",34
"2004-03-14",29
"2004-03-15",57
"2004-03-16",71
"2004-03-17",73
"2004-03-18",52
"2004-03-19",56
"2004-03-20",25
"2004-03-21",43
"2004-03-22",57
"2004-03-23",0
"2004-03-24",66
"2004-03-25",73
"2004-03-26",47
"2004-03-27",58
"2004-03-28",20
"2004-03-29",45
"2004-03-30",63
"2004-03-31",150.397991640223
"2004-04-01",55.5555053070464
"2004-04-02",71.5431533321295
"2004-04-03",52.8066396260901
"2004-04-04",57.4031434944906
"2004-04-05",63.5825440833324
"2004-04-06",40.9213115285986
"2004-04-07",69.1303623033087
"2004-04-08",50.7022025978335
"2004-04-09",42.2150282327928
"2004-04-10",40.749073408502
"2004-04-11",75.8514719085935
"2004-04-12",26.0223717232102
"2004-04-13",0
"2004-04-14",37.2764032096561
"2004-04-15",55.1620550145914
"2004-04-16",40.7453025590187
"2004-04-17",15.1914742496579
"2004-04-18",34.0826118648372
"2004-04-19",42.2590627508375
"2004-04-20",47.3771900913769
"2004-04-21",56.9156752026166
"2004-04-22",37.2108564002394
"2004-04-23",37.7846728087781
"2004-04-24",54.6953680837482
"2004-04-25",45.1720727330178
"2004-04-26",48.4119993749659
"2004-04-27",65.4878750548677
"2004-04-28",44.5465050067944
"2004-04-29",35.9800191221948
"2004-04-30",35.1894865890936
"2004-05-01",29.5036947514346
"2004-05-02",30.4895616034527
"2004-05-03",49.8801852461858
"2004-05-04",51.1134306048374
"2004-05-05",30.755785772246
"2004-05-06",52.383124649087
"2004-05-07",42.1854101277009
"2004-05-08",20.7018920871458
"2004-05-09",18.8582117371512
"2004-05-10",20.945537338652
"2004-05-11",40.1494027947651
"2004-05-12",32.3093101729609
"2004-05-13",33.9444923658617
"2004-05-14",42.9320310614891
"2004-05-15",48.1841500542152
"2004-05-16",30.0072310387163
"2004-05-17",37.4923452379254
"2004-05-18",41.3700471282028
"2004-05-19",43.8072708717258
"2004-05-20",49.4800624584225
"2004-05-21",41.3070767945586
"2004-05-22",11.5534175494362
"2004-05-23",30.0141191631194
"2004-05-24",47.7552901795259
"2004-05-25",42.891643053806
"2004-05-26",39.3949120209668
"2004-05-27",41.604043717198
"2004-05-28",39.0576526211222
"2004-05-29",20.0427046424515
"2004-05-30",39.874141469881
"2004-05-31",28.3817272703048
"2004-06-01",29.7263762395725
"2004-06-02",59.3806897734107
"2004-06-03",42.2360695516008
"2004-06-04",48.7237019198727
"2004-06-05",34.9307151333469
"2004-06-06",25.0478162595787
"2004-06-07",48.5145254190139
"2004-06-08",30.179167879118
"2004-06-09",52.3682823479936
"2004-06-10",41.6087659716671
"2004-06-11",54.9736564730101
"2004-06-12",23.6572869377577
"2004-06-13",48.4495606701564
"2004-06-14",32.1946312577618
"2004-06-15",34.9915292058619
"2004-06-16",40.0974875526533
"2004-06-17",44.1454888847654
"2004-06-18",43.9857823220462
"2004-06-19",34.9845463413686
"2004-06-20",20.7433442307421
"2004-06-21",37.7643892314112
"2004-06-22",45.3902425311429
"2004-06-23",35.2983308172169
"2004-06-24",36.6687267164195
"2004-06-25",35.692480802846
"2004-06-26",27.8348233226245
"2004-06-27",43.3267844595454
"2004-06-28",49.2254067948974
"2004-06-29",52.7674172941059
"2004-06-30",49.3911326339468
"2004-07-01",59.4491180782038
"2004-07-02",52.1370441481409
"2004-07-03",69.1893988761896
"2004-07-04",45.7370290240177
"2004-07-05",58.6361143992005
"2004-07-06",68.9141367805963
"2004-07-07",74.3946793113991
"2004-07-08",44.03606832878
"2004-07-09",74.2278868123532
"2004-07-10",40.829140736593
"2004-07-11",78.4340180089916
"2004-07-12",59.414610316173
"2004-07-13",80.7542266571248
"2004-07-14",37.8197331469218
"2004-07-15",86.4175625680782
"2004-07-16",73.0910228643759
"2004-07-17",28.5846433492914
"2004-07-18",45.6681351539698
"2004-07-19",88.5381168364447
"2004-07-20",57.563272677687
"2004-07-21",82.2446450487364
"2004-07-22",49.0583847261547
"2004-07-23",69.2802108989325
"2004-07-24",45.6364506260217
"2004-07-25",32.7991108993401
"2004-07-26",56.4800036102338
"2004-07-27",47.0065707665499
"2004-07-28",41.2132307852271
"2004-07-29",74.816758077194
"2004-07-30",87.95305834629
"2004-07-31",51.4878942603162
"2004-08-01",52.077969512001
"2004-08-02",93.4503457961158
"2004-08-03",88.9613574872385
"2004-08-04",56.1117956419597
"2004-08-05",74.4207507681744
"2004-08-06",58.2334077325103
"2004-08-07",58.301553506505
"2004-08-08",28.9046357813595
"2004-08-09",86.2173831557337
"2004-08-10",63.2580523049408
"2004-08-11",52.350521934266
"2004-08-12",55.2532020282716
"2004-08-13",63.1045009470879
"2004-08-14",78.4045070775293
"2004-08-15",105.060936804763
"2004-08-16",85.9896750615402
"2004-08-17",98.3640313251939
"2004-08-18",81.3883413206967
"2004-08-19",106.942135761986
"2004-08-20",79.6692128575493
"2004-08-21",49.6577446981597
"2004-08-22",83.7354206759865
"2004-08-23",59.8981331662345
"2004-08-24",80.1498731904406
"2004-08-25",57.1074197202693
"2004-08-26",57.9286766185594
"2004-08-27",72.904313359591
"2004-08-28",45.0897238855537
"2004-08-29",35.0523192906115
"2004-08-30",49.6280357646079
"2004-08-31",77.0512300946422
"2004-09-01",55.235736179224
"2004-09-02",64.9851333724436
"2004-09-03",58.3101520955338
"2004-09-04",46.3149507527161
"2004-09-05",34.5648197343814
"2004-09-06",70.5513969601812
"2004-09-07",103.392954213097
"2004-09-08",109.878780416182
"2004-09-09",73.2752003736245
"2004-09-10",58.0330099360114
"2004-09-11",44.2549236853952
"2004-09-12",49.7487325711123
"2004-09-13",58.1096179250431
"2004-09-14",37.5390375611524
"2004-09-15",74.0436850409801
"2004-09-16",51.0224286925437
"2004-09-17",63.1244898413938
"2004-09-18",36.3141699885237
"2004-09-19",39.0848730476497
"2004-09-20",33.0681563169893
"2004-09-21",60.1239120212989
"2004-09-22",69.7051998191051
"2004-09-23",73.1315560900708
"2004-09-24",57.6909344378376
"2004-09-25",43.3967869664832
"2004-09-26",74.5577510477638
"2004-09-27",107.818263840695
"2004-09-28",106.116776452248
"2004-09-29",77.5093228654387
"2004-09-30",45.6256296249914
"2004-10-01",79.7967395463836
"2004-10-02",61.4442584761656
"2004-10-03",56.7553710824601
"2004-10-04",76.8070949097605
"2004-10-05",69.6276564445654
"2004-10-06",57.9632078620381
"2004-10-07",56.8122675145848
"2004-10-08",55.9657146016423
"2004-10-09",49.8716633521976
"2004-10-10",57.7571034563046
"2004-10-11",69.2148440454937
"2004-10-12",51.284506505572
"2004-10-13",66.2649576495361
"2004-10-14",49.6703961993184
"2004-10-15",58.8364966729362
"2004-10-16",34.776836474494
"2004-10-17",22.0532776270088
"2004-10-18",59.5130613033551
"2004-10-19",73.8736654170046
"2004-10-20",71.25047729261
"2004-10-21",40.0573532643217
"2004-10-22",51.5888592944475
"2004-10-23",38.6937116739741
"2004-10-24",18.9532719320938
"2004-10-25",40.782412791821
"2004-10-26",77.1673836254162
"2004-10-27",52.9647848428738
"2004-10-28",52.368028505236
"2004-10-29",56.6101351686577
"2004-10-30",25.0880270941313
"2004-10-31",28.4781525783971
"2004-11-01",82.3139038772526
"2004-11-02",71.5794291040375
"2004-11-03",53.5449141906273
"2004-11-04",69.8460622983607
"2004-11-05",66.9933121646097
"2004-11-06",62.7022750351105
"2004-11-07",51.7693527072181
"2004-11-08",62.0150835171232
"2004-11-09",70.3167039002305
"2004-11-10",63.778308748355
"2004-11-11",51.8809586020863
"2004-11-12",42.7136168214189
"2004-11-13",29.283677235961
"2004-11-14",22.8613871537598
"2004-11-15",46.2056462865988
"2004-11-16",56.0774034223119
"2004-11-17",54.4895520289294
"2004-11-18",54.406475328117
"2004-11-19",40.243161179929
"2004-11-20",47.8713704227705
"2004-11-21",20.7487819739155
"2004-11-22",59.9453258215403
"2004-11-23",42.1673750137887
"2004-11-24",28.6308480811417
"2004-11-25",35.9664945326499
"2004-11-26",40.3892586099438
"2004-11-27",31.2522809072388
"2004-11-28",27.3312629494215
"2004-11-29",55.5750836236528
"2004-11-30",36.4911604544506
"2004-12-01",58.7719962938736
"2004-12-02",69.357938579211
"2004-12-03",39.8792135961336
"2004-12-04",44.6521746626366
"2004-12-05",26.7579889733866
"2004-12-06",53.9875212350798
"2004-12-07",62.3204348504248
"2004-12-08",53.8662185850463
"2004-12-09",50.9229947672768
"2004-12-10",60.5221888272706
"2004-12-11",25.9668161873477
"2004-12-12",28.5234310377728
"2004-12-13",47.8807490613467
"2004-12-14",37.8910591179309
"2004-12-15",46.9317682902544
"2004-12-16",59.0591164394956
"2004-12-17",56.2673785502167
"2004-12-18",26.6522259013432
"2004-12-19",47.6298513724423
"2004-12-20",37.4640570615703
"2004-12-21",55.9373475665823
"2004-12-22",58.1102432159657
"2004-12-23",43.7435847215087
"2004-12-24",42.7157895999213
"2004-12-25",26.9668421699315
"2004-12-26",36.2252080986535
"2004-12-27",38.003945996115
"2004-12-28",70.0810318077917
"2004-12-29",35.3191637746365
"2004-12-30",42.4861510880021
"2004-12-31",63.8795421969997
"2005-01-01",44.7646819541858
"2005-01-02",51.3207403652283
"2005-01-03",61.3778666072631
"2005-01-04",58.4172787405853
"2005-01-05",51.2700144149841
"2005-01-06",71.6522502429542
"2005-01-07",60.1761272879286
"2005-01-08",37.8381609370836
"2005-01-09",47.2644373084146
"2005-01-10",77.6749055727302
"2005-01-11",47.313223328251
"2005-01-12",80.5410483121842
"2005-01-13",59.1564452095144
"2005-01-14",69.5008898443889
"2005-01-15",27.1516394460512
"2005-01-16",50.5457375989236
"2005-01-17",61.2865977551578
"2005-01-18",94.7637081129965
"2005-01-19",94.8955901708026
"2005-01-20",52.9707959640266
"2005-01-21",88.6039099084584
"2005-01-22",23.4485271635916
"2005-01-23",52.8946037927066
"2005-01-24",80.930363014768
"2005-01-25",88.2336509010013
"2005-01-26",67.1618956196159
"2005-01-27",101.800913312014
"2005-01-28",67.8708460087348
"2005-01-29",55.5241519028521
"2005-01-30",51.3719517855461
"2005-01-31",83.63011019714
"2005-02-01",79.6716030463297
"2005-02-02",63.7048892104674
"2005-02-03",100.807831055784
"2005-02-04",60.3584494078205
"2005-02-05",42.0161050784444
"2005-02-06",39.6297817649813
"2005-02-07",96.7290591297131
"2005-02-08",82.7802316860277
"2005-02-09",75.8957199353041
"2005-02-10",72.1664261480825
"2005-02-11",71.6311482868929
"2005-02-12",67.1512621343857
"2005-02-13",47.718271507252
"2005-02-14",98.5582954914962
"2005-02-15",73.3106463964504
"2005-02-16",79.0661655694422
"2005-02-17",64.2524680778064
"2005-02-18",73.1610739835025
"2005-02-19",56.6758175479383
"2005-02-20",48.1373565451199
"2005-02-21",71.7020617240265
"2005-02-22",77.3237803895383
"2005-02-23",49.0611226279067
"2005-02-24",82.3469267111378
"2005-02-25",78.283692467309
"2005-02-26",69.8078607272542
"2005-02-27",49.1330011559143
"2005-02-28",95.3283319643949
"2005-03-01",103.98061361723
"2005-03-02",80.3436556450209
"2005-03-03",86.7449542803424
"2005-03-04",71.1306316413692
"2005-03-05",57.0357142023156
"2005-03-06",52.547074214828
"2005-03-07",77.5297863286743
"2005-03-08",85.9009733913237
"2005-03-09",64.6741440202744
"2005-03-10",70.6426777062876
"2005-03-11",53.2671697279182
"2005-03-12",42.4481285202522
"2005-03-13",33.6253193840998
"2005-03-14",107.603221269252
"2005-03-15",74.6622472781663
"2005-03-16",75.0457988564619
"2005-03-17",53.3533229485703
"2005-03-18",73.8757090538002
"2005-03-19",48.4205026500014
"2005-03-20",50.9276882798126
"2005-03-21",77.9272649062295
"2005-03-22",66.3268783270547
"2005-03-23",49.7715820574175
"2005-03-24",104.092631653884
"2005-03-25",68.4183077993876
"2005-03-26",38.9466502641636
"2005-03-27",41.9760769246904
"2005-03-28",62.1062076056419
"2005-03-29",77.0260088933132
"2005-03-30",93.0530272434979
"2005-03-31",81.2179043049444
"2005-04-01",70.6938744778
"2005-04-02",64.8745450995373
"2005-04-03",39.9287344581183
"2005-04-04",61.0613395847348
"2005-04-05",61.5625928644863
"2005-04-06",81.4447349328173
"2005-04-07",59.5286808721542
"2005-04-08",54.1185892555578
"2005-04-09",32.2919295162219
"2005-04-10",24.9761477991261
"2005-04-11",54.754771589327
"2005-04-12",67.5955983177585
"2005-04-13",90.6350935537289
"2005-04-14",72.580815790076
"2005-04-15",88.8873036604449
"2005-04-16",64.0216704189074
