"date","hits"
"2004-01-01",0
"2004-01-02",25
"2004-01-03",0
"2004-01-04",31
"2004-01-05",0
"2004-01-06",25
"2004-01-07",28
"2004-01-08",0
"2004-01-09",19
"2004-01-10",0
"2004-01-11",0
"2004-01-12",18
"2004-01-13",26
"2004-01-14",18
"2004-01-15",27
"2004-01-16",38
"2004-01-17",58
"2004-01-18",0
"2004-01-19",0
"2004-01-20",18
"2004-01-21",26
"2004-01-22",18
"2004-01-23",0
"2004-01-24",0
"2004-01-25",0
"2004-01-26",34
"2004-01-27",17
"2004-01-28",29
"2004-01-29",26
"2004-01-30",18
"2004-01-31",0
"2004-02-01",29
"2004-02-02",17
"2004-02-03",16
"2004-02-04",24
"2004-02-05",0
"2004-02-06",17
"2004-02-07",0
"2004-02-08",41
"2004-02-09",25
"2004-02-10",27
"2004-02-11",17
"2004-02-12",26
"2004-02-13",18
"2004-02-14",58
"2004-02-15",30
"2004-02-16",19
"2004-02-17",17
"2004-02-18",16
"2004-02-19",17
"2004-02-20",27
"2004-02-21",0
"2004-02-22",0
"2004-02-23",33
"2004-02-24",17
"2004-02-25",0
"2004-02-26",22
"2004-02-27",18
"2004-02-28",29
"2004-02-29",0
"2004-03-01",30
"2004-03-02",24
"2004-03-03",0
"2004-03-04",23
"2004-03-05",0
"2004-03-06",0
"2004-03-07",80
"2004-03-08",0
"2004-03-09",0
"2004-03-10",0
"2004-03-11",61
"2004-03-12",50
"2004-03-13",28
"2004-03-14",28
"2004-03-15",25
"2004-03-16",48
"2004-03-17",16
"2004-03-18",34
"2004-03-19",30
"2004-03-20",29
"2004-03-21",28
"2004-03-22",100
"2004-03-23",0
"2004-03-24",23
"2004-03-25",61
"2004-03-26",51
"2004-03-27",0
"2004-03-28",44
"2004-03-29",33
"2004-03-30",21
"2004-03-31",22.5219710471365
"2004-04-01",21.2152882723999
"2004-04-02",16.2530612737978
"2004-04-03",0
"2004-04-04",0
"2004-04-05",22.4814250185806
"2004-04-06",23.0334285014594
"2004-04-07",29.2600896201396
"2004-04-08",29.4579671933674
"2004-04-09",0
"2004-04-10",37.6008065311098
"2004-04-11",0
"2004-04-12",0
"2004-04-13",0
"2004-04-14",35.1668142635924
"2004-04-15",15.2533788706091
"2004-04-16",22.9426213747955
"2004-04-17",0
"2004-04-18",39.5251652950323
"2004-04-19",36.0722500688348
"2004-04-20",29.0468250015999
"2004-04-21",19.360759274832
"2004-04-22",44.519646350598
"2004-04-23",0
"2004-04-24",0
"2004-04-25",0
"2004-04-26",31.7421560624409
"2004-04-27",100.255234003572
"2004-04-28",27.409639353975
"2004-04-29",41.478033707872
"2004-04-30",15.1306817281619
"2004-05-01",37.3436637571933
"2004-05-02",39.7150206864084
"2004-05-03",24.3988754958581
"2004-05-04",29.9185860684432
"2004-05-05",0
"2004-05-06",52.9835019831365
"2004-05-07",24.7486301101183
"2004-05-08",0
"2004-05-09",38.2873050842088
"2004-05-10",19.4412057341819
"2004-05-11",21.14233403082
"2004-05-12",39.1109407189023
"2004-05-13",23.8927979886506
"2004-05-14",22.0092098387545
"2004-05-15",0
"2004-05-16",0
"2004-05-17",14.0149124064123
"2004-05-18",12.2284195841728
"2004-05-19",0
"2004-05-20",0
"2004-05-21",22.1961658119255
"2004-05-22",54.7731399310737
"2004-05-23",0
"2004-05-24",21.5224452866348
"2004-05-25",43.1852185947825
"2004-05-26",25.5682672370817
"2004-05-27",48.1970150667502
"2004-05-28",14.6261112711462
"2004-05-29",0
"2004-05-30",0
"2004-05-31",0
"2004-06-01",0
"2004-06-02",19.0671658209651
"2004-06-03",20.3347556004461
"2004-06-04",44.958129230107
"2004-06-05",0
"2004-06-06",116.092550152977
"2004-06-07",19.2600014979808
"2004-06-08",23.1409636861433
"2004-06-09",44.8537530699697
"2004-06-10",41.3692347719369
"2004-06-11",0
"2004-06-12",50.3903448518977
"2004-06-13",0
"2004-06-14",29.0005125739111
"2004-06-15",37.0648639617954
"2004-06-16",30.8840005490559
"2004-06-17",19.7288042550667
"2004-06-18",0
"2004-06-19",0
"2004-06-20",0
"2004-06-21",35.1689273102099
"2004-06-22",31.1248856472192
"2004-06-23",0
"2004-06-24",26.7050650413382
"2004-06-25",58.5905072730361
"2004-06-26",0
"2004-06-27",54.5839395122895
"2004-06-28",0
"2004-06-29",28.3557791327866
"2004-06-30",0
"2004-07-01",31.7188278064176
"2004-07-02",0
"2004-07-03",0
"2004-07-04",0
"2004-07-05",0
"2004-07-06",30.364432427171
"2004-07-07",0
"2004-07-08",0
"2004-07-09",33.5685576926611
"2004-07-10",0
"2004-07-11",0
"2004-07-12",0
"2004-07-13",0
"2004-07-14",0
"2004-07-15",0
"2004-07-16",25.2840806723993
"2004-07-17",60.9966925693896
"2004-07-18",0
"2004-07-19",0
"2004-07-20",0
"2004-07-21",0
"2004-07-22",0
"2004-07-23",0
"2004-07-24",53.2321092628674
"2004-07-25",59.4427925256658
"2004-07-26",0
"2004-07-27",38.7538784910292
"2004-07-28",38.3736650520911
"2004-07-29",0
"2004-07-30",0
"2004-07-31",0
"2004-08-01",0
"2004-08-02",0
"2004-08-03",38.4223238457447
"2004-08-04",0
"2004-08-05",0
"2004-08-06",0
"2004-08-07",60.5330668696765
"2004-08-08",0
"2004-08-09",28.5435677461521
"2004-08-10",29.4276138584064
"2004-08-11",0
"2004-08-12",32.7956260623821
"2004-08-13",0
