"date","hits"
"2004-01-01",32
"2004-01-02",43
"2004-01-03",33
"2004-01-04",22
"2004-01-05",36
"2004-01-06",48
"2004-01-07",37
"2004-01-08",34
"2004-01-09",33
"2004-01-10",37
"2004-01-11",22
"2004-01-12",32
"2004-01-13",29
"2004-01-14",34
"2004-01-15",30
"2004-01-16",26
"2004-01-17",35
"2004-01-18",27
"2004-01-19",29
"2004-01-20",40
"2004-01-21",35
"2004-01-22",32
"2004-01-23",33
"2004-01-24",32
"2004-01-25",22
"2004-01-26",30
"2004-01-27",31
"2004-01-28",35
"2004-01-29",30
"2004-01-30",33
"2004-01-31",33
"2004-02-01",30
"2004-02-02",29
"2004-02-03",30
"2004-02-04",26
"2004-02-05",29
"2004-02-06",33
"2004-02-07",25
"2004-02-08",26
"2004-02-09",32
"2004-02-10",35
"2004-02-11",29
"2004-02-12",29
"2004-02-13",31
"2004-02-14",25
"2004-02-15",23
"2004-02-16",28
"2004-02-17",34
"2004-02-18",29
"2004-02-19",30
"2004-02-20",29
"2004-02-21",30
"2004-02-22",21
"2004-02-23",33
"2004-02-24",32
"2004-02-25",30
"2004-02-26",26
"2004-02-27",30
"2004-02-28",31
"2004-02-29",13
"2004-03-01",46
"2004-03-02",27
"2004-03-03",25
"2004-03-04",35
"2004-03-05",25
"2004-03-06",35
"2004-03-07",23
"2004-03-08",0
"2004-03-09",0
"2004-03-10",44
"2004-03-11",21
"2004-03-12",37
"2004-03-13",34
"2004-03-14",26
"2004-03-15",46
"2004-03-16",39
"2004-03-17",36
"2004-03-18",35
"2004-03-19",39
"2004-03-20",35
"2004-03-21",51
"2004-03-22",69
"2004-03-23",0
"2004-03-24",46
"2004-03-25",35
"2004-03-26",54
"2004-03-27",52
"2004-03-28",100
"2004-03-29",87
"2004-03-30",60
"2004-03-31",68.7154323628285
"2004-04-01",65.4715259608802
"2004-04-02",78.9167665060031
"2004-04-03",88.0349575889791
"2004-04-04",222.116689943174
"2004-04-05",21.586066099785
"2004-04-06",13.4865651100551
"2004-04-07",13.8209882339273
"2004-04-08",11.9032858415426
"2004-04-09",13.1821289301935
"2004-04-10",12.3048950800034
"2004-04-11",6.69768743144822
"2004-04-12",6.69817278893004
"2004-04-13",0
"2004-04-14",12.591378700522
"2004-04-15",14.3848731832285
"2004-04-16",11.0957133509049
"2004-04-17",7.46430276482956
"2004-04-18",9.19638052291584
"2004-04-19",12.0593525809529
"2004-04-20",11.2415616861612
"2004-04-21",12.9309796117021
"2004-04-22",13.9478113714586
"2004-04-23",8.09355051798574
"2004-04-24",9.85757162617561
"2004-04-25",8.94510484527595
"2004-04-26",11.6151892874879
"2004-04-27",10.8635396645625
"2004-04-28",10.3619672350225
"2004-04-29",11.8625924729674
"2004-04-30",11.6160785314542
"2004-05-01",9.48516404072159
"2004-05-02",7.93973441530955
"2004-05-03",12.3979373772424
"2004-05-04",10.4036460637945
"2004-05-05",11.5508246039113
"2004-05-06",8.78309755927783
"2004-05-07",8.29272372565516
"2004-05-08",6.59580331323244
"2004-05-09",6.67183863718487
"2004-05-10",11.6940694250585
"2004-05-11",10.759207102656
"2004-05-12",13.6331504375745
"2004-05-13",9.91708038594677
"2004-05-14",10.4352583901788
"2004-05-15",12.0269926924925
"2004-05-16",6.32145843755041
"2004-05-17",13.5952625144483
"2004-05-18",12.3110450078398
"2004-05-19",8.95786259361974
"2004-05-20",10.3892424125472
"2004-05-21",8.3207962111454
"2004-05-22",8.25142541248798
"2004-05-23",6.26389269040831
"2004-05-24",13.0682080530979
"2004-05-25",12.1970314984347
"2004-05-26",13.359297023334
"2004-05-27",12.0131973478153
"2004-05-28",13.0599789897689
"2004-05-29",7.78848724841561
"2004-05-30",6.42628451954111
"2004-05-31",8.23625738780434
"2004-06-01",9.71921997714198
"2004-06-02",12.6107466072936
"2004-06-03",12.6611042609476
"2004-06-04",13.3257993586077
"2004-06-05",10.5655154188298
"2004-06-06",7.27308103596056
"2004-06-07",11.4492181079964
"2004-06-08",15.2067794956766
"2004-06-09",11.8446754673584
"2004-06-10",13.6996125736963
"2004-06-11",11.1733227532437
