"kw","0","1","2","3","4","5"
"reforms",NA,NA,0.209396954768508,NA,NA,NA
"boost",NA,NA,1.36299174656029,NA,NA,NA
"consolidate",NA,NA,1.5187059236149,NA,NA,NA
"construction",NA,NA,0.624392107596798,NA,NA,NA
"outperform",NA,NA,-0.146157226410082,NA,NA,NA
"savings",NA,NA,-0.341246806128355,NA,NA,NA
"progress",NA,NA,-0.512819384310244,NA,NA,NA
"booming",NA,NA,-0.169483027523478,NA,NA,NA
"accrue",NA,NA,-0.32928999420886,NA,NA,NA
"surpass",NA,NA,-0.406839602618025,NA,NA,NA
"debt",NA,NA,-0.029499610656309,NA,NA,NA
"crisis",NA,NA,-0.0751532489273021,NA,NA,NA
"decline",NA,NA,-0.26686380735261,NA,NA,NA
"recession",NA,NA,-0.826930611349624,NA,NA,NA
"unemployment",NA,NA,0.0196205248084844,NA,NA,NA
"bankrupt",NA,NA,0.315894306447479,NA,NA,NA
"deficit",NA,NA,-1.28764129019505,NA,NA,NA
"collapse",NA,NA,-0.153173700235016,NA,NA,NA
"market crash",NA,NA,-0.0828527497316305,NA,NA,NA
"downturn",NA,NA,-0.225797436984937,NA,NA,NA
"banana",NA,NA,0.189518456391385,NA,NA,NA
"door",NA,NA,-0.242550597099846,NA,NA,NA
"weather",NA,NA,-0.496901749929439,NA,NA,NA
"chopstick",NA,NA,-0.0249627899457874,NA,NA,NA
"phone",NA,NA,-0.298744759914726,NA,NA,NA
"chicago",NA,NA,0.00996669219666835,NA,NA,NA
"christmas",NA,NA,-0.485568584033617,NA,NA,NA
"swim",NA,NA,-0.356908641811007,NA,NA,NA
"bycicle",NA,NA,-0.494712872552382,NA,NA,NA
"programming",NA,NA,0.165502498685399,NA,NA,NA
