ticker;n;start date;end date;mean;std dev;min;1st Q;median;3rd Q;max;ACF(1);NAs
DJI;4192;2004-01-05;2020-08-27;0.02%;1.19%;-13.8%;-0.4%;0.0%;0.5%;10.8%;-14.35%;163
VNQ;4006;2004-09-30;2020-08-27;0.03%;1.97%;-21.7%;-0.6%;0.1%;0.8%;15.7%;-17.76%;0
XLK;4192;2004-01-05;2020-08-27;0.05%;1.34%;-14.9%;-0.5%;0.1%;0.7%;13.0%;-14.00%;0
XLB;4192;2004-01-05;2020-08-27;0.03%;1.52%;-13.3%;-0.6%;0.1%;0.8%;13.2%;-4.71%;0
XLV;4192;2004-01-05;2020-08-27;0.04%;1.08%;-10.4%;-0.4%;0.1%;0.6%;11.4%;-9.40%;0
XLI;4192;2004-01-05;2020-08-27;0.03%;1.35%;-12.0%;-0.5%;0.1%;0.7%;11.9%;-6.08%;0
XLP;4192;2004-01-05;2020-08-27;0.04%;0.89%;-9.9%;-0.4%;0.1%;0.5%;8.2%;-11.42%;0
XLE;4192;2004-01-05;2020-08-27;0.02%;1.89%;-22.5%;-0.8%;0.1%;0.9%;15.3%;-7.80%;0
XLY;4192;2004-01-05;2020-08-27;0.04%;1.33%;-13.5%;-0.5%;0.1%;0.7%;9.3%;-5.82%;0
VOX;4006;2004-09-30;2020-08-27;0.03%;1.28%;-12.1%;-0.5%;0.1%;0.6%;13.1%;-6.61%;0
XLU;4192;2004-01-05;2020-08-27;0.04%;1.18%;-12.1%;-0.5%;0.1%;0.6%;12.0%;-9.98%;0
XLF;4192;2004-01-05;2020-08-27;0.02%;2.00%;-18.2%;-0.6%;0.1%;0.7%;27.0%;-12.29%;0
