ticker;n;start date;end date;mean;std dev;min;1st Q;median;3rd Q;max;ACF(1);NAs
reforms;6085;2004-01-01;2020-08-28;44.71;28.40;0.0;23.0;39.3;64.4;160.9;0.51;0
boost;6085;2004-01-01;2020-08-28;71.48;15.44;0.0;62.8;73.1;81.6;155.9;0.65;0
consolidate;6085;2004-01-01;2020-08-28;55.05;23.34;0.0;40.1;55.3;71.1;244.5;0.39;0
construction;6085;2004-01-01;2020-08-28;75.84;19.14;0.0;54.9;83.6;91.1;109.3;0.46;0
outperform;6085;2004-01-01;2020-08-28;28.98;29.01;0.0;0.0;30.6;47.7;221.3;0.20;13
savings;6085;2004-01-01;2020-08-28;46.39;42.21;0.0;8.0;30.0;84.3;527.1;0.84;0
progress;6085;2004-01-01;2020-08-28;68.44;18.27;0.0;53.4;70.5;83.3;150.4;0.50;0
booming;6085;2004-01-01;2020-08-28;39.57;28.63;0.0;21.7;39.4;57.0;305.3;0.29;0
accrue;6085;2004-01-01;2020-08-28;39.11;29.28;0.0;18.4;38.5;58.2;255.8;0.34;2
surpass;6085;2004-01-01;2020-08-28;40.21;27.63;0.0;24.2;40.2;57.3;164.0;0.34;0
debt;6085;2004-01-01;2020-08-28;66.47;18.87;0.0;53.9;68.1;80.2;208.2;0.69;0
crisis;6085;2004-01-01;2020-08-28;62.15;20.07;0.0;47.6;60.3;76.2;190.8;0.74;0
decline;6085;2004-01-01;2020-08-28;61.18;20.85;0.0;46.3;60.1;76.1;200.0;0.51;0
recession;6085;2004-01-01;2020-08-28;47.30;26.96;0.0;30.0;45.3;62.9;790.2;0.53;0
unemployment;6085;2004-01-01;2020-08-28;58.75;20.01;0.0;45.6;58.4;71.4;285.0;0.36;0
bankrupt;6085;2004-01-01;2020-08-28;48.69;23.14;0.0;33.6;47.4;61.1;391.3;0.48;0
deficit;6085;2004-01-01;2020-08-28;52.59;20.26;0.0;38.2;50.7;64.4;243.8;0.59;0
collapse;6085;2004-01-01;2020-08-28;41.29;56.17;0.0;21.6;39.0;54.6;1950.0;0.18;0
market crash;6085;2004-01-01;2020-08-28;39.74;38.90;0.0;20.4;35.2;54.3;2027.4;0.29;0
downturn;6085;2004-01-01;2020-08-28;33.60;28.22;0.0;0.0;33.2;51.0;202.8;0.28;10
banana;6085;2004-01-01;2020-08-28;70.96;12.58;0.0;63.5;70.1;77.6;123.2;0.57;0
door;6085;2004-01-01;2020-08-28;82.31;10.15;0.0;77.7;83.5;88.5;143.0;0.67;0
weather;6085;2004-01-01;2020-08-28;57.97;17.50;0.0;46.0;57.5;68.0;159.7;0.84;0
chopstick;6085;2004-01-01;2020-08-28;40.24;26.71;0.0;24.7;39.9;55.8;195.9;0.31;0
phone;6085;2004-01-01;2020-08-28;84.79;10.07;0.0;78.2;85.9;92.5;126.6;0.56;0
chicago;6085;2004-01-01;2020-08-28;78.19;13.45;0.0;70.0;79.9;87.6;166.0;0.82;0
christmas;6085;2004-01-01;2020-08-28;61.69;39.57;0.0;14.2;75.6;91.7;195.9;0.94;104
swim;6085;2004-01-01;2020-08-28;67.12;21.66;0.0;49.5;70.4;83.3;189.4;0.88;0
bycicle;6085;2004-01-01;2020-08-28;43.60;24.81;0.0;27.7;41.1;57.0;190.2;0.22;0
programming;6085;2004-01-01;2020-08-28;77.48;11.22;0.0;69.6;77.9;85.5;113.4;0.43;0
